diex,diey,wafer,lot,Temperature,VDDD,I_pad_fb,DAC Counter,DAC tYpe
14,48,2,4719575,-45,5,-1.33E-08,0,PDAC
14,48,2,4719575,-45,8,-1.04E-07,1,PDAC
14,48,2,4719575,-45,12,-1.91E-07,2,PDAC
14,48,2,4719575,-45,15,-2.81E-07,3,PDAC
14,48,2,4719575,-45,20,-3.80E-07,4,PDAC
14,48,2,4719575,-45,5,-4.70E-07,5,PDAC
14,48,2,4719575,-45,5,-5.58E-07,6,PDAC
14,48,2,4719575,-45,5,-6.48E-07,7,PDAC
14,48,2,4719575,-45,5,-7.44E-07,8,PDAC
14,48,2,4719575,-45,5,-8.34E-07,9,PDAC
14,48,2,4719575,-45,5,-9.22E-07,10,PDAC
14,48,2,4719575,-45,5,-1.01E-06,11,PDAC
14,48,2,4719575,-45,5,-1.10E-06,12,PDAC
14,48,2,4719575,-45,5,-1.19E-06,13,PDAC
14,48,2,4719575,-45,5,-1.28E-06,14,PDAC
14,48,2,4719575,-45,5,-1.37E-06,15,PDAC
14,48,2,4719575,-45,5,-1.47E-06,16,PDAC
14,48,2,4719575,-45,5,-1.56E-06,17,PDAC
14,48,2,4719575,-45,5,-1.65E-06,18,PDAC
14,48,2,4719575,-45,5,-1.74E-06,19,PDAC
14,48,2,4719575,-45,5,-1.83E-06,20,PDAC
14,48,2,4719575,-45,5,-1.92E-06,21,PDAC
14,48,2,4719575,-45,5,-2.01E-06,22,PDAC
14,48,2,4719575,-45,5,-2.10E-06,23,PDAC
14,48,2,4719575,-45,5,-2.19E-06,24,PDAC
14,48,2,4719575,-45,5,-2.28E-06,25,PDAC
14,48,2,4719575,-45,5,-2.37E-06,26,PDAC
14,48,2,4719575,-45,5,-2.46E-06,27,PDAC
14,48,2,4719575,-45,5,-2.55E-06,28,PDAC
14,48,2,4719575,-45,5,-2.64E-06,29,PDAC
14,48,2,4719575,-45,5,-2.73E-06,30,PDAC
14,48,2,4719575,-45,5,-2.82E-06,31,PDAC
14,48,2,4719575,-45,5,-2.92E-06,32,PDAC
14,48,2,4719575,-45,5,-3.01E-06,33,PDAC
